,Bx,By,Bz
411,-2.74379,-13.9826,-0.719604
412,-2.91643,-13.9606,-1.95924
413,-2.91472,-13.9905,-2.26555
414,-2.89372,-13.6946,-3.99041
415,-2.68359,-13.1037,-5.53683
416,-3.08914,-13.4814,-4.45741
417,-2.41211,-13.1141,-5.82881
418,-2.3623,-12.9416,-6.28729
419,-1.77938,-12.7802,-6.66821
420,-2.08253,-11.9291,-8.08817
421,-2.53316,-12.3375,-7.23966
422,-2.15277,-13.2773,-5.49358
423,-1.42257,-12.4986,-7.41389
424,-1.89817,-12.3218,-7.62293
425,-2.86449,-12.3455,-7.21329
426,-2.28487,-13.6018,-4.90302
427,-2.63451,-13.5456,-5.06913
428,-3.19824,-13.4806,-4.93544
429,-3.05437,-13.6234,-4.71116
430,-3.2682,-13.4264,-5.06844
431,-3.19439,-13.1699,-5.74417
432,-3.46229,-13.2155,-5.48795
433,-3.32026,-13.1104,-5.84669
434,-3.98258,-12.5271,-6.6323
435,-4.70991,-12.2542,-6.66405
436,-5.29857,-12.3544,-6.06157
437,-4.3386,-13.0788,-5.25717
438,-3.0402,-13.0773,-6.07509
439,-3.38457,-13.6027,-4.38535
440,-2.76869,-13.7662,-4.62231
441,-3.21522,-13.5962,-4.70201
442,-3.11574,-13.4894,-5.07785
443,-2.98146,-13.566,-4.98733
444,-3.16577,-13.4667,-5.17947
445,-2.89771,-13.299,-5.7339
446,-3.1458,-13.2278,-5.88219
447,-3.15791,-13.2786,-5.49558
448,-3.19497,-13.0471,-5.9328
449,-3.12818,-13.1139,-5.83856
450,-3.18719,-13.3135,-5.40381
451,-3.36076,-13.0367,-6.16039
452,-3.11622,-13.1197,-6.24424
453,-3.35188,-12.9493,-6.44816
454,-3.06615,-13.0253,-6.25293
455,-2.88675,-13.0496,-6.22327
456,-3.83642,-12.4598,-6.90492
457,-3.44101,-12.699,-6.60855
458,-3.06218,-12.3126,-7.54302
459,-2.35006,-12.3483,-7.71131
460,-3.1525,-12.5651,-7.03272
461,-3.17139,-13.0072,-6.26403
462,-3.57432,-13.1861,-5.51117
463,-2.55432,-13.495,-5.07031
464,-2.71708,-13.5128,-5.11946
465,-2.87384,-13.5344,-5.03603
466,-2.8243,-12.6501,-7.36505
467,-2.82403,-12.4942,-7.65408
